Id,Address,CaseNumber,CrimeAgainst,Neighborhood,OccurDate,OccurTime,OffenseCategory,OffenseType,OpenDataLat,OpenDataLon,OpenDataX,OpenDataY,ReportDate,OffenseCount
75,3500 BLOCK OF SE CORA DR,23-200780,Property,Creston-Kenilworth,31-07-2023,2045,Fraud Offenses,False Pretenses/Swindle/Confidence Game,45.49262235,-122.6285615,7656326,672887,31-07-2023,1
76,SE 82ND AVE / SE LAMBERT ST,23-917967,Property,Lents,31-07-2023,1540,Vandalism,Vandalism,45.46688617,-122.5790449,7668778,663176,31-07-2023,1
77,12000 BLOCK OF SE PINE ST,23-200180,Property,Hazelwood,31-07-2023,459,Burglary,Burglary,45.52035656,-122.539071,7679522,682404,31-07-2023,1
78,SE 90TH AVE / SE YAMHILL ST,23-200355,Person,Montavilla,31-07-2023,1100,Assault Offenses,Simple Assault,45.51612146,-122.57138,7671204,681071,31-07-2023,1
79,16400 BLOCK OF SE DIVISION ST,23-200407,Property,Centennial,31-07-2023,1229,Larceny Offenses,Shoplifting,45.50462046,-122.4943236,7690846,676382,31-07-2023,1
80,12000 BLOCK OF SE OAK ST,23-200152,Property,Hazelwood,31-07-2023,320,Vandalism,Vandalism,45.51975569,-122.5390729,7679516,682185,31-07-2023,1
81,4800 BLOCK OF SW VERMONT ST,23-200641,Society,Maplewood,31-07-2023,1802,Weapon Law Violations,Weapons Law Violations,45.47622664,-122.7267596,7630989,667590,31-07-2023,1
82,12000 BLOCK OF SE OAK ST,23-200152,Person,Hazelwood,31-07-2023,320,Assault Offenses,Aggravated Assault,45.51975569,-122.5390729,7679516,682185,31-07-2023,1
83,12000 BLOCK OF SE OAK ST,23-200148,Property,Hazelwood,31-07-2023,300,Burglary,Burglary,45.51975569,-122.5390729,7679516,682185,31-07-2023,1
84,12000 BLOCK OF SE OAK ST,23-200148,Person,Hazelwood,31-07-2023,300,Assault Offenses,Aggravated Assault,45.51975569,-122.5390729,7679516,682185,31-07-2023,1
85,16400 BLOCK OF SE DIVISION ST,23-200187,Property,Centennial,31-07-2023,510,Burglary,Burglary,45.50462046,-122.4943236,7690846,676382,31-07-2023,1
86,3400 BLOCK OF N WILLIAMS AVE,23-918014,Property,Eliot,31-07-2023,1545,Larceny Offenses,Shoplifting,45.54786011,-122.6667292,7647082,693280,31-07-2023,1
87,5300 BLOCK OF N INTERSTATE AVE,23-917902,Property,Overlook,31-07-2023,1900,Larceny Offenses,Theft From Building,45.56156705,-122.682411,7643201,698384,31-07-2023,1
88,5600 BLOCK OF SW ILLINOIS ST,23-917937,Property,Hayhurst,31-07-2023,200,Fraud Offenses,Identity Theft,45.47934538,-122.7354194,7628800,668788,31-07-2023,1
89,5700 BLOCK OF N DELAWARE AVE,23-918022,Property,Overlook,31-07-2023,700,Vandalism,Vandalism,45.56484915,-122.6924702,7640658,699650,31-07-2023,1
90,1700 BLOCK OF NW COUCH ST,23-200167,Property,Northwest,31-07-2023,359,Larceny Offenses,Theft From Motor Vehicle,45.52350477,-122.6887308,7641207,684555,31-07-2023,1
91,8300 BLOCK OF SE 70TH AVE,23-200495,Property,Brentwood-Darlington,31-07-2023,1800,Larceny Offenses,All Other Larceny,45.46349132,-122.5914831,7665556,662021,31-07-2023,1
92,1500 BLOCK OF NW 21ST AVE,23-917986,Property,Northwest,31-07-2023,1555,Larceny Offenses,All Other Larceny,45.53378283,-122.6947605,7639764,688343,31-07-2023,1
93,400 BLOCK OF SE 79TH AVE,23-200133,Property,Montavilla,31-07-2023,225,Vandalism,Vandalism,45.51943767,-122.5825028,7668385,682353,31-07-2023,1
94,10300 BLOCK OF NE HALSEY ST,23-917952,Property,Hazelwood,31-07-2023,1555,Larceny Offenses,Shoplifting,45.53348734,-122.5560006,7675306,687300,31-07-2023,1
95,10300 BLOCK OF NE HALSEY ST,23-917957,Property,Hazelwood,31-07-2023,1907,Larceny Offenses,Shoplifting,45.53348734,-122.5560006,7675306,687300,31-07-2023,1
96,3400 BLOCK OF N WILLIAMS AVE,23-918020,Property,Eliot,31-07-2023,1905,Larceny Offenses,Shoplifting,45.54786011,-122.6667292,7647082,693280,31-07-2023,1
97,10100 BLOCK OF NE CASCADES PKWY,23-917982,Property,,31-07-2023,1130,Larceny Offenses,Shoplifting,45.57293983,-122.5581258,7675128,701694,31-07-2023,1
98,5800 BLOCK OF N MICHIGAN AVE,23-200098,Property,Humboldt,31-07-2023,49,Vandalism,Vandalism,45.56516993,-122.6768858,7644651,699659,31-07-2023,1
99,2100 BLOCK OF NW RALEIGH ST,23-918025,Property,Northwest,31-07-2023,1556,Larceny Offenses,Shoplifting,45.5340772,-122.6957244,7639520,688457,31-07-2023,1
100,3000 BLOCK OF NE WEIDLER ST,23-917961,Property,Sullivan's Gulch,31-07-2023,210,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,45.53441989,-122.6345713,7655188,688162,31-07-2023,1
101,3000 BLOCK OF NE WEIDLER ST,23-200319,Property,Sullivan's Gulch,31-07-2023,830,Motor Vehicle Theft,Motor Vehicle Theft,45.53441989,-122.6345713,7655188,688162,31-07-2023,1
102,2100 BLOCK OF NW RALEIGH ST,23-918024,Property,Northwest,31-07-2023,2147,Larceny Offenses,Shoplifting,45.5340772,-122.6957244,7639520,688457,31-07-2023,1
103,1100 BLOCK OF NE BROADWAY,23-200398,Property,Lloyd,31-07-2023,1223,Robbery,Robbery,45.53500605,-122.6540348,7650208,688508,31-07-2023,1
104,N CLARENDON AVE / N FESSENDEN ST,23-200095,Property,Portsmouth,31-07-2023,49,Vandalism,Vandalism,45.59122413,-122.7241824,7632804,709485,31-07-2023,1
105,4600 BLOCK OF NE LOMBARD ST,23-200461,Property,Cully,31-07-2023,1130,Motor Vehicle Theft,Motor Vehicle Theft,45.56935982,-122.6145188,7660658,700762,31-07-2023,1
106,900 BLOCK OF NW COUCH ST,23-917910,Property,Pearl,31-07-2023,2200,Larceny Offenses,Theft From Motor Vehicle,45.52365613,-122.6806259,7643285,684554,31-07-2023,1
107,,23-X5861334,Person,Downtown,31-07-2023,0,Assault Offenses,Simple Assault,,,,,31-07-2023,1
108,,23-X5861336,Person,Old Town/Chinatown,31-07-2023,1354,Assault Offenses,Aggravated Assault,,,,,31-07-2023,1
109,,23-X5861338,Person,Hayden Island,31-07-2023,1501,Assault Offenses,Aggravated Assault,,,,,31-07-2023,1
110,,23-X5861458,Person,Pearl,31-07-2023,1519,Assault Offenses,Simple Assault,,,,,31-07-2023,1
111,UNKNOWN ADDRESS,23-918026,Property,,31-07-2023,2030,Larceny Offenses,Theft From Motor Vehicle,,,,,31-07-2023,1
112,UNKNOWN ADDRESS,23-918015,Property,,31-07-2023,1430,Larceny Offenses,Theft From Motor Vehicle,,,,,31-07-2023,1
113,,23-X5861459,Person,Northwest,31-07-2023,1806,Assault Offenses,Simple Assault,,,,,31-07-2023,1
114,8700 BLOCK OF NE WARD ST,23-200506,Property,Sumner,31-07-2023,1443,Fraud Offenses,False Pretenses/Swindle/Confidence Game,45.55383898,-122.5729598,7671152,694829,31-07-2023,1
115,4200 BLOCK OF NE MALLORY AVE,23-917984,Property,King,31-07-2023,0,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,45.55427338,-122.663596,7647947,695596,31-07-2023,1
116,,23-X5862219,Person,South Portland,31-07-2023,1409,Sex Offenses,Rape,,,,,31-07-2023,1
117,2900 BLOCK OF SE COLT DR,23-917987,Property,Reed,31-07-2023,835,Fraud Offenses,False Pretenses/Swindle/Confidence Game,45.48642332,-122.635124,7654584,670672,31-07-2023,1
118,NE 32ND PL / NE HOLMAN ST,23-918031,Property,Concordia,31-07-2023,2200,Larceny Offenses,Theft From Motor Vehicle,45.56824108,-122.6317228,7656243,700470,31-07-2023,1
119,0 BLOCK OF SE MORRISON ST,23-917963,Property,Buckman West,31-07-2023,1900,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,45.5171844,-122.6650708,7647207,682088,31-07-2023,1
120,,23-X5863052,Person,Parkrose Heights,31-07-2023,1756,Assault Offenses,Aggravated Assault,,,,,31-07-2023,1
121,1200 BLOCK OF NW NAITO PKWY,23-917949,Property,Pearl,31-07-2023,720,Vandalism,Vandalism,45.53197139,-122.6783532,7643949,687569,31-07-2023,1
122,2100 BLOCK OF SW TAYLOR ST,23-200702,Property,Goose Hollow,31-07-2023,1700,Motor Vehicle Theft,Motor Vehicle Theft,45.52181907,-122.6948288,7639628,683983,31-07-2023,1
123,,23-X5861006,Person,North Tabor,31-07-2023,148,Assault Offenses,Simple Assault,,,,,31-07-2023,1
124,2100 BLOCK OF SE 96TH AVE,23-200790,Property,Hazelwood,31-07-2023,2052,Arson,Arson,45.5072885,-122.5642919,7672938,677805,31-07-2023,1
125,2800 BLOCK OF SE STEELE ST,23-917983,Property,Reed,31-07-2023,1045,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,45.48467373,-122.6367003,7654163,670045,31-07-2023,1
126,2100 BLOCK OF SE 50TH AVE,23-200503,Property,Richmond,31-07-2023,1444,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,45.50769835,-122.6113333,7660886,678266,31-07-2023,1
127,900 BLOCK OF SW 14TH AVE,23-200384,Property,Goose Hollow,31-07-2023,1145,Burglary,Burglary,45.5194522,-122.687154,7641571,683067,31-07-2023,1
128,900 BLOCK OF SW 2ND AVE,23-200484,Property,Downtown,31-07-2023,1417,Vandalism,Vandalism,45.51630895,-122.6753951,7644553,681840,31-07-2023,1
129,2900 BLOCK OF NE 63RD AVE,23-917928,Property,Rose City Park,31-07-2023,20,Larceny Offenses,Theft From Motor Vehicle,45.54415759,-122.5983289,7664564,691468,31-07-2023,1
130,,23-X5861192,Person,Powellhurst-Gilbert,31-07-2023,1042,Assault Offenses,Simple Assault,,,,,31-07-2023,1
131,1200 BLOCK OF SE CESAR E CHAVEZ BLVD,23-200749,Property,Sunnyside,31-07-2023,1700,Vandalism,Vandalism,45.51394769,-122.6229803,7657961,680622,31-07-2023,1
132,N INTERSTATE PL / N INTERSTATE AVE,23-918034,Property,Kenton,31-07-2023,2110,Vandalism,Vandalism,45.58277441,-122.6827503,7643323,706116,31-07-2023,1
133,2300 BLOCK OF SE 141ST AVE,23-918008,Property,Hazelwood,31-07-2023,0,Larceny Offenses,Theft From Motor Vehicle,45.50554773,-122.5189838,7684534,676877,31-07-2023,1
134,2200 BLOCK OF NE ALBERTA ST,23-200249,Property,Concordia,31-07-2023,306,Burglary,Burglary,45.55901905,-122.6423939,7653422,697181,31-07-2023,1
135,,23-X5861261,Person,Woodlawn,31-07-2023,49,Assault Offenses,Simple Assault,,,,,31-07-2023,1
136,1200 BLOCK OF NW NAITO PKWY,23-917966,Property,Pearl,31-07-2023,1900,Vandalism,Vandalism,45.53204149,-122.6782739,7643970,687594,31-07-2023,1
137,,23-X5861303,Person,Cully,31-07-2023,1659,Assault Offenses,Intimidation,,,,,31-07-2023,5
138,,23-X5861303,Property,Cully,31-07-2023,1659,Burglary,Burglary,,,,,31-07-2023,1
139,9400 BLOCK OF NE CASCADES PKWY,23-200762,Property,,31-07-2023,2101,Larceny Offenses,Shoplifting,45.57590383,-122.5657224,7673211,702824,31-07-2023,1
140,1000 BLOCK OF SW 6TH AVE,23-917911,Property,Downtown,31-07-2023,830,Larceny Offenses,Theft From Motor Vehicle,45.51675813,-122.6799239,7643397,682035,31-07-2023,1
141,1100 BLOCK OF SW 13TH AVE,23-200707,Person,Downtown,31-07-2023,1933,Assault Offenses,Simple Assault,45.51780921,-122.6866965,7641672,682465,31-07-2023,1
142,UNKNOWN ADDRESS,23-200618,Property,,31-07-2023,1700,Motor Vehicle Theft,Motor Vehicle Theft,,,,,31-07-2023,1
143,UNKNOWN ADDRESS,23-200490,Society,,31-07-2023,1541,Drug/Narcotic Offenses,Drug/Narcotic Violations,,,,,31-07-2023,1
144,UNKNOWN ADDRESS,23-200490,Property,,31-07-2023,1541,Counterfeiting/Forgery,Counterfeiting/Forgery,,,,,31-07-2023,1
145,900 BLOCK OF NE 61ST AVE,23-918005,Property,Rose City Park,31-07-2023,2200,Burglary,Burglary,45.5301139,-122.6012917,7663672,686369,31-07-2023,1
146,2300 BLOCK OF W BURNSIDE ST,23-918017,Property,Goose Hollow,31-07-2023,2328,Larceny Offenses,All Other Larceny,45.52354172,-122.6991538,7638537,684641,31-07-2023,1
147,1100 BLOCK OF SW VERMONT ST,23-200347,Property,Hillsdale,31-07-2023,1330,Larceny Offenses,All Other Larceny,45.47607283,-122.6915487,7640016,667287,31-07-2023,1
148,0 BLOCK OF NE BEECH ST,23-200214,Property,Boise,31-07-2023,1200,Robbery,Robbery,45.54957927,-122.665186,7647494,693896,31-07-2023,1
149,0 BLOCK OF NE 146TH AVE,23-917960,Property,Hazelwood,31-07-2023,1405,Larceny Offenses,Theft From Building,45.52278343,-122.513153,7686185,683122,31-07-2023,1
150,1100 BLOCK OF W BURNSIDE ST,23-200177,Property,Downtown,31-07-2023,438,Burglary,Burglary,45.52291301,-122.6826269,7642765,684297,31-07-2023,1
151,0 BLOCK OF NE 127TH AVE,23-200121,Person,Hazelwood,31-07-2023,153,Assault Offenses,Aggravated Assault,45.5227537,-122.532608,7681200,683236,31-07-2023,1
152,2300 BLOCK OF W BURNSIDE ST,23-918018,Property,Goose Hollow,31-07-2023,1206,Larceny Offenses,Shoplifting,45.52354172,-122.6991538,7638537,684641,31-07-2023,1
153,11100 BLOCK OF SE DIVISION ST,23-200184,Property,Powellhurst-Gilbert,31-07-2023,500,Larceny Offenses,Shoplifting,45.50412235,-122.5486638,7676914,676549,31-07-2023,1
154,9400 BLOCK OF NE CASCADES PKWY,23-200839,Property,,31-07-2023,2157,Larceny Offenses,Shoplifting,45.57590383,-122.5657224,7673211,702824,31-07-2023,1
